('2018-04-03 15:59:47.701592', 1522785587701591550, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:00.361595', 1522785480361595297, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'sshd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'imapd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'wget', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.061595', 1522785527061595268, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/dev/kmem', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.231594', 1522785527231593940, 'Subject', 'lsof', 'EVENT_SENDTO', 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.051593', 1522785527051592952, 'Subject', 'lsof', 'EVENT_EXECUTE', 'File', '/usr/local/sbin/lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.221593', 1522785527221592694, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/etc/pwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:48.991590', 1522785768991590035, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/var/mail/henry.lock', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:48:42.451606', 1522784922451605958, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:53:44.651602', 1522785224651601717, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:54:45.131601', 1522785285131600544, 'Subject', 'lsof', 'EVENT_CLOSE', 'File', '/etc/nsswitch.conf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:50:43.351604', 1522785043351604443, 'Subject', 'lsof', 'EVENT_OPEN', 'File', '/etc/resolv.conf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:51:53.381601', 1522785113381601472, 'Subject', 'sshd', 'EVENT_SENDTO', 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Subject', 'imapd', 'EVENT_SENDTO', 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:51.711808', 1522775871711807930, 'Subject', 'imapd', 'EVENT_WRITE', 'File', '/var/mail/george', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.741593', 1522785600741592506, 'Subject', 'imapd', 'EVENT_CLOSE', 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Subject', 'wget', 'EVENT_SENDTO', 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.861825', 1522775679861825275, 'Subject', 'local', 'EVENT_OPEN', 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.811821', 1522775679811820655, 'Subject', 'local', 'EVENT_CLOSE', 'File', '/var/mail/george', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.881816', 1522775679881816284, 'Subject', 'local', 'EVENT_OPEN', 'File', '/var/mail/user', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.951823', 1522775903951822875, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/bob', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.991827', 1522775903991826712, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/david', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.071811', 1522775904071811115, 'Subject', 'local', 'EVENT_SENDTO', 'Netflow', '127.0.0.1:512', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.061812', 1522775904061812481, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/irene', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.071811', 1522775904071811115, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/root', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.461811', 1522775860461811473, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/edward', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.981825', 1522775903981825287, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/charles', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.051813', 1522775904051812957, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/henry', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.031811', 1522775904031811038, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/frank', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.611823', 1522775679611822632, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/admin', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.561810', 1522775860561810114, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/1D6F829D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.941825', 1522775903941824781, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/mail/alice', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.091818', 1522775904091817883, 'Subject', 'local', 'EVENT_WRITE', 'File', '/var/spool/postfix/active/CAA0129D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.041812', 1522775904041812232, 'Subject', 'local', 'EVENT_EXECUTE', 'File', '/usr/local/libexec/postfix/local', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.671825', 1522775679671824967, 'Subject', 'local', 'EVENT_OPEN', 'File', '/etc/pwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.521813', 1522775860521812678, 'Subject', 'local', 'EVENT_OPEN', 'File', '/etc/spwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/etc/postfix/main.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.611823', 1522775679611822632, 'Subject', 'local', 'EVENT_CLOSE', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.151809', 1522775904151809358, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/local/libexec/postfix/dynamicmaps.cf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.891819', 1522775679891819448, 'Subject', 'local', 'EVENT_OPEN', 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.511810', 1522775860511810074, 'Subject', 'local', 'EVENT_CLOSE', 'File', '/var/mail/henry.lock', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.651820', 1522775679651819638, 'Subject', 'local', 'EVENT_CLOSE', 'File', '/usr/share/zoneinfo/UTC', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.791821', 1522775679791821276, 'Subject', 'local', 'EVENT_OPEN', 'File', '/usr/share/zoneinfo/posixrules', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:55:00.191597', 1522785300191597316, 'Subject', 'dd', 'EVENT_WRITE', 'File', '/var/db/entropy/saved-entropy.8', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 15:55:00.191597', 1522785300191597316, 'Subject', 'dd', 'EVENT_WRITE', 'File', '/dev/null', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 16:00:00.241594', 1522785600241594335, 'Subject', 'dd', 'EVENT_OPEN', 'File', '/dev/random', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 16:00:00.231597', 1522785600231596559, 'Subject', 'dd', 'EVENT_OPEN', 'File', '/var/run/ld-elf.so.hints', '2018-04-03 15:55:00.191597316~2018-04-03 16:00:00.241594335_0')
('2018-04-03 15:58:00.361595', 1522785480361595297, 'Netflow', '128.55.12.10:53', 'EVENT_RECVFROM', 'Subject', 'sshd', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:58:01.961599', 1522785481961598569, 'Subject', 'sshd', 'EVENT_WRITE', 'File', '/var/log/utx.log', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
('2018-04-03 15:51:53.381601', 1522785113381601472, 'Subject', 'sshd', 'EVENT_SENDTO', 'Netflow', '128.55.12.10:53', '2018-04-03 11:30:06.991954772~2018-04-03 16:02:55.031586512_0')
