('2018-04-03 15:59:47.701592', 1522785587701591550, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:00.361595', 1522785480361595297, 'Subject', 'sshd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Subject', 'imapd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Subject', 'wget', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.061595', 1522785527061595268, 'File', '/dev/kmem', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.231594', 1522785527231593940, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.051593', 1522785527051592952, 'File', '/usr/local/sbin/lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.221593', 1522785527221592694, 'File', '/etc/pwd.db', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:48.991590', 1522785768991590035, 'File', '/var/mail/henry.lock', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:48:42.451606', 1522784922451605958, 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:53:44.651602', 1522785224651601717, 'File', '/var/run/ld-elf.so.hints', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:54:45.131601', 1522785285131600544, 'File', '/etc/nsswitch.conf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:50:43.351604', 1522785043351604443, 'File', '/etc/resolv.conf', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:51:53.381601', 1522785113381601472, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:51.711808', 1522775871711807930, 'File', '/var/mail/george', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.741593', 1522785600741592506, 'File', '/etc/services', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.861825', 1522775679861825275, 'File', '/var/spool/postfix/active/6762529D07', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.811821', 1522775679811820655, 'File', '/var/mail/george', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:14:39.881816', 1522775679881816284, 'File', '/var/mail/user', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.951823', 1522775903951822875, 'File', '/var/mail/bob', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.991827', 1522775903991826712, 'File', '/var/mail/david', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.071811', 1522775904071811115, 'Netflow', '127.0.0.1:512', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.061812', 1522775904061812481, 'File', '/var/mail/irene', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.071811', 1522775904071811115, 'File', '/var/mail/root', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:40.461811', 1522775860461811473, 'File', '/var/mail/edward', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:23.981825', 1522775903981825287, 'File', '/var/mail/charles', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:18:24.051813', 1522775904051812957, 'File', '/var/mail/henry', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
