('2018-04-03 15:59:47.701592', 1522785587701591550, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:00.361595', 1522785480361595297, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Netflow', '128.55.12.10:53', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.061595', 1522785527061595268, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.231594', 1522785527231593940, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.051593', 1522785527051592952, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:58:47.221593', 1522785527221592694, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:48.991590', 1522785768991590035, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:48:42.451606', 1522784922451605958, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:53:44.651602', 1522785224651601717, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:54:45.131601', 1522785285131600544, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:50:43.351604', 1522785043351604443, 'Subject', 'lsof', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 15:51:53.381601', 1522785113381601472, 'Subject', 'sshd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.821592', 1522785600821591935, 'Subject', 'imapd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 13:17:51.711808', 1522775871711807930, 'Subject', 'imapd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:00:00.741593', 1522785600741592506, 'Subject', 'imapd', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
('2018-04-03 16:02:55.071588', 1522785775071588226, 'Subject', 'wget', '2018-04-03 13:14:39.611822632~2018-04-03 16:02:55.071588226_0')
