('2018-04-06 11:33:16.536155', 1523028796536154997, 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.686114', 1523030697686113765, 'Netflow', '139.123.0.113:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:43:04.976143', 1523029384976142609, 'Netflow', '61.167.39.128:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:47:34.606136', 1523029654606135739, 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:52.046111', 1523030692046111295, 'File', '/var/log/devc', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.386112', 1523030697386112131, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:35:44.886152', 1523028944886151963, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'File', '/var/log/nginx-error.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Netflow', '78.205.235.65:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.296174', 1523028020296173816, 'File', '/var/log/nginx-access.log', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.186179', 1523028012186179155, 'Netflow', '81.49.200.166:44623', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'Netflow', '81.49.200.166:43530', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:49.886158', 1523028709886158284, 'File', '/tmp/vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:53.046157', 1523028713046157350, 'File', '/etc/passwd', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.156174', 1523027996156173685, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.346171', 1523028173346171381, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:44.106176', 1523027984106176111, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:46.126174', 1523027986126174365, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:53.146177', 1523027993146176514, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.176172', 1523027996176172457, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:59.186172', 1523027999186172048, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:01.206176', 1523028001206176292, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:06.226174', 1523028006226174047, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:07.236175', 1523028007236175235, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:11.256173', 1523028011256172923, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.096172', 1523028012096172059, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.286176', 1523028020286175526, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.506121', 1523030370506120761, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.526122', 1523030370526121552, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'File', '/usr/local/www/nginx-dist/index.php', '2018-04-06 11:19:44.116174661~2018-04-06 11:59:30.536121873_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'File', '/var/log/nginx-error.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'File', '/var/log/nginx-access.log', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
