('2018-04-06 11:33:16.536155', 1523028796536154997, 'Subject', 'vUgefal', '2018-04-06 11:19:16.516173087~2018-04-06 14:01:32.299612930_0')
('2018-04-06 11:33:16.536155', 1523028796536154997, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:33:16.546160', 1523028796546159758, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.686114', 1523030697686113765, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:33:16.536155', 1523028796536154997, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:08:41.586108', 1523030921586107566, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:43:04.976143', 1523029384976142609, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:47:34.606136', 1523029654606135739, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:52.046111', 1523030692046111295, 'Subject', 'vUgefal', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 12:04:57.386112', 1523030697386112131, 'Netflow', '139.123.0.113:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:59:30.536122', 1523030370536121873, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.166173', 1523027996166172676, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:33:43.506157', 1523028823506157091, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.166173', 1523027996166172676, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:44.116175', 1523027984116174661, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:46.136174', 1523027986136174116, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:53.146177', 1523027993146176514, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.296174', 1523028020296173816, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:56.176172', 1523027996176172457, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:19:59.196172', 1523027999196172358, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:01.216173', 1523028001216173433, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:06.236174', 1523028006236173598, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:07.246175', 1523028007246175186, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:11.266175', 1523028011266174624, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.186179', 1523028012186179155, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:20.296174', 1523028020296173816, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.596169', 1523028173596169278, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:49.886158', 1523028709886158284, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:31:53.046157', 1523028713046157350, 'Subject', 'nginx', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.346171', 1523028173346171381, 'Netflow', '78.205.235.65:80', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:20:12.096172', 1523028012096172059, 'Netflow', '81.49.200.166:44623', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-06 11:22:53.276168', 1523028173276168307, 'Netflow', '81.49.200.166:43530', '2018-04-06 11:19:44.106176111~2018-04-06 12:08:41.586107566_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.375321', 1523228332375321270, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:59.405327', 1523228339405327117, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:33.335320', 1523228313335320313, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:35.355322', 1523228315355322045, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:44.365317', 1523228324365317200, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-08 18:58:52.385318', 1523228332385318451, 'Subject', 'nginx', '2018-04-08 18:58:33.325322222~2018-04-08 18:58:59.405327117_0')
('2018-04-09 16:25:56.943593', 1523305556943592868, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 16:25:56.933593', 1523305556933592598, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:42.053840', 1523294562053839590, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:44.073837', 1523294564073837459, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:49.093840', 1523294569093839633, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
('2018-04-09 13:22:51.113851', 1523294571113851323, 'Subject', 'nginx', '2018-04-09 13:22:42.053839590~2018-04-09 16:25:56.943592868_0')
